Country,CODE,"GDP (USD)",Population,GDP/Capita,"GDP Growth",Inflation,Unemployment,Debt/GDP,"Life Exp.",Trade/GDP,id
Maldives,MDV,8221000000,527799,19682.118,4.5,2.5,4.514,135.9,81.041,156.4739557,148
Barbados,BRB,7944000000,282467,27175.05,2.1,2.5,6.524,94.6,76.178,94.21049468,149
Fiji,FJI,6696000000,928784,7170.018,3.1,1.1,5.347,79.8,67.316,94.21049468,150
"South Sudan",SSD,6033000000,11943408,368.831,22.4,15.8,12.374,60.2,57.617,94.21049468,151
Liberia,LBR,5594000000,5612817,955.666,5.4,7.7,2.884,54.2,62.163,94.21049468,152
Eswatini,SWZ,5495000000,1242822,4610.137,4.6,4,34.202,43.5,64.123,107.4806211,153
Djibouti,DJI,5003000000,1168722,4680.792,6,1.4,26.015,28,65.987,241.2374631,154
Suriname,SUR,4870000000,634431,7300.499,3.7,9.6,7.834,82.7,73.631,94.21049468,155
Andorra,AND,4715000000,81938,51681.217,1.6,1.8,4.9,30.7,84.041,94.21049468,156
Ecuador,ECU,134711000000,18135478,7383.917,2,2.8,3.308,53.8,77.392,57.20313955,157
Guatemala,GTM,129466000000,18406359,6851.018,3.6,3.3,2.604,27.8,72.602,47.34419676,158
"Puerto Rico (US)",PRI,129192000000,3203295,40706.63,-0.1,2.2,5.991,18.7,81.69,94.62250856,159
Ethiopia,ETH,125744000000,132059767,1123.609,7.1,9.4,3.323,41.1,67.315,17.40043586,160
Ghana,GHA,113494000000,34427414,3179.324,4.8,9.9,2.979,56.1,65.498,69.78842274,161
Aruba,ABW,4471000000,107995,41026.391,2.2,2.1,4.9,63.9,76.353,160.3652788,162
Bhutan,BTN,3771000000,791524,4710.109,7.4,3.4,3.227,121.1,72.975,81.73662787,163
"Central African Republic",CAF,3708000000,5330690,650.684,3.3,3.3,6.251,52.5,57.408,46.43189998,164
Croatia,HRV,113132000000,3866200,29367.594,2.7,2.8,5.002,57.4,78.47317073,104.9123261,165
Serbia,SRB,112108000000,6586476,17291.852,3.6,4,7.123,44.2,76.22097561,111.7250284,166
Belize,BLZ,3442000000,417072,8115.795,2.4,1.9,8.856,63.5,73.566,108.9724465,167
"Cabo Verde",CPV,3138000000,524877,6069.475,4.8,2,11.939,101,76.059,96.50535367,168
"St. Lucia",LCA,2770000000,179744,15162.972,2.1,1.5,9.452,77.2,72.697,94.21049468,169
Guinea-Bissau,GNB,2764000000,2201352,1341.663,5,2,2.673,74,64.085,38.80658479,170
"Gambia, The",GMB,2672000000,2759988,924.765,5.1,4.9,6.521,70,65.86,42.17061723,171
Lesotho,LSO,2474000000,2337423,1024.099,1.1,4.8,16.315,57.1,57.375,141.5137559,172
"Antigua and Barbuda",ATG,2456000000,93772,23116.824,2.5,2.4,4.9,63.8,77.598,117.7035278,173
"San Marino",SMR,2393000000,33977,69493.436,1.3,2,4.9,61.8,85.706,340.983395,174
Seychelles,SYC,2249000000,121354,21939.997,3.2,1.1,4.9,58.4,74.95853659,188.3691853,175
Timor-Leste,TLS,2208000000,1400638,1546.912,3.3,1.8,1.592,14.7,67.689,95.44850213,176
"Solomon Islands",SLB,2051000000,819198,2522.482,2.8,3.7,1.431,25.1,70.528,111.3529721,177
Comoros,COM,1770000000,866628,1904.282,4,1.9,3.819,32.6,66.777,44.37317675,178
Grenada,GRD,1524000000,117207,13041.07,3.4,1.1,4.9,65.5,75.205,94.21049468,179
Samoa,WSM,1333000000,218019,6252.63,3.2,3.2,4.996,17.7,71.698,79.52414618,180
"St. Vincent and the Grenadines",VCT,1299000000,100616,11663.213,2.7,2.1,18.003,90.5,71.23,94.21049468,181
"St. Kitts and Nevis",KNA,1190000000,46843,23070.687,2.2,2.1,4.9,67.5,72.145,94.21049468,182
Vanuatu,VUT,1176000000,327777,3184.842,2.8,2.2,5.073,51.5,71.477,63.59961217,183
"Sao Tome and Principe",STP,1125000000,235536,4590.682,4.7,7,9.132,45.4,69.718,94.21049468,184
Dominica,DMA,791000000,66205,10458.779,3.3,2.3,4.9,92.5,71.132,94.21049468,185
Tonga,TON,616000000,104175,6221.162,2.3,2.2,2.008,37.8,72.895,79.6239205,186
"Micronesia, Fed. Sts.",FSM,519000000,113160,5492.292,1.4,3.4,4.9,6.8,67.198,98.4249673,187
Palau,PLW,362000000,17695,20718.247,3.3,2.9,4.9,59,69.269,106.6975903,188
Kiribati,KIR,343000000,134518,2615.178,3.2,3.5,4.9,16.5,66.473,107.6037785,189
"Marshall Islands",MHL,332000000,37548,9391.42,4.1,5.9,4.9,14.9,66.945,123.809134,190
Nauru,NRU,183000000,11947,14958.977,1.9,4.5,4.9,13,62.109,165.8467742,191
Tuvalu,TUV,61000000,9646,6136.58,2.6,2.3,4.9,3.6,67.105,94.21049468,192
